college_team,college_conference,nfl_team,year,overall,round,pick,name,position,height,weight,season_before_draft,receiving_rec,receiving_yds,receiving_td,receiving_ypr,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,RAS,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Stanford,Pac-10,Cincinnati,2011,167,6,2,Ryan Whalen,Wide Receiver,73,202,2010,41,439,2,10.7,12,11,1,1,1,0,9.2,4.53,18,38.5,123,6.67,4.09,Y
East Carolina,Conference USA,Dallas,2011,176,6,11,Dwayne Harris,Wide Receiver,70,203,2010,101,1123,10,11.1,12,6,6,1,0,1,2.73,4.53,10,34,111,6.77,4.21,Y
SMU,Conference USA,Washington,2011,178,6,13,Aldrick Robinson,Wide Receiver,70,184,2010,65,1301,14,20,13,7,6,1,0,1,8.92,4.35,17,40,126,6.65,4.09,Y
USC,Pac-10,San Francisco,2011,182,6,17,Ronald Johnson,Wide Receiver,71,199,2010,64,692,8,10.8,13,8,5,0,0,0,6.95,4.46,16,NA,NA,NA,NA,Y
Colorado,Big 12,New York,2011,227,7,24,Scotty McKnight,Wide Receiver,70,182,2010,50,621,7,12.4,12,5,7,0,0,0,7.67,NA,NA,NA,NA,NA,NA,N
USC,Pac-10,Las Vegas,2011,241,7,38,David Ausberry,Wide Receiver,75,233,2010,20,252,4,12.6,13,8,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,N
Oklahoma State,Big 12,Jacksonville,2012,5,1,5,Justin Blackmon,Wide Receiver,73,207,2011,121,1522,18,12.6,12,11,1,1,1,0,7.29,4.46,14,NA,NA,NA,NA,Y
Notre Dame,FBS Independents,Arizona,2012,13,1,13,Michael Floyd,Wide Receiver,75,220,2011,100,1147,9,11.5,12,8,4,1,0,1,7.5,4.4,16,36.5,122,NA,NA,Y
Baylor,Big 12,Tennessee,2012,20,1,20,Kendall Wright,Wide Receiver,70,196,2011,108,1663,14,15.4,12,9,3,1,1,0,3.04,4.49,NA,38.5,121,6.93,4.18,Y
Illinois,Big Ten,San Francisco,2012,30,1,30,A.J. Jenkins,Wide Receiver,72,190,2011,90,1276,8,14.2,12,6,6,1,1,0,8.96,4.37,12,38.5,124,NA,NA,Y
Georgia Tech,ACC,New York,2012,43,2,11,Stephen Hill,Wide Receiver,76,215,2011,28,820,5,29.3,12,8,4,1,0,1,9.63,4.36,14,39.5,133,6.88,4.48,Y
South Carolina,SEC,Chicago,2012,45,2,13,Alshon Jeffery,Wide Receiver,75,216,2011,49,762,8,15.6,12,10,2,1,1,0,9.01,4.48,NA,NA,NA,NA,NA,Y
Oklahoma,Big 12,Detroit,2012,54,2,22,Ryan Broyles,Wide Receiver,71,192,2011,83,1157,10,13.9,12,9,3,1,1,0,NA,4.57,21,NA,NA,NA,NA,Y
LSU,SEC,New York,2012,63,2,31,Rueben Randle,Wide Receiver,75,210,2011,53,917,8,17.3,13,13,0,1,0,1,5.76,4.55,15,31,121,6.99,4.36,Y
Ohio State,Big Ten,Houston,2012,68,3,5,DeVier Posey,Wide Receiver,74,211,2011,12,162,2,13.5,12,6,6,1,0,1,8.77,4.39,14,36.5,123,7.03,4.15,Y
Rutgers,Big East,Cincinnati,2012,83,3,20,Mohamed Sanu,Wide Receiver,74,211,2011,115,1206,7,10.5,12,8,4,1,1,0,6.47,4.62,19,36,126,6.88,4.22,Y
Wake Forest,ACC,Los Angeles,2012,96,4,1,Chris Givens,Wide Receiver,71,198,2011,83,1330,9,16,12,6,6,1,0,1,7.42,4.35,19,33.5,118,6.97,4.23,Y
Miami,ACC,Cleveland,2012,100,4,5,Travis Benjamin,Wide Receiver,71,172,2011,41,609,3,14.9,12,6,6,0,0,0,6.52,4.31,14,38,119,NA,NA,Y
Arkansas,SEC,Carolina,2012,104,4,9,Joe Adams,Wide Receiver,71,179,2011,54,652,3,12.1,12,10,2,1,1,0,3.65,4.51,NA,36,123,7.09,NA,Y
Fresno State,Western Athletic,Kansas City,2012,107,4,12,Devon Wylie,Wide Receiver,69,187,2011,56,716,1,12.8,13,4,9,0,0,0,9,4.36,17,39,123,NA,NA,Y
Arkansas,SEC,Minnesota,2012,118,4,23,Jarius Wright,Wide Receiver,70,182,2011,66,1117,12,16.9,12,10,2,1,1,0,7.08,4.39,11,38,120,6.93,4.03,Y
Michigan State,Big Ten,Houston,2012,121,4,26,Keshawn Martin,Wide Receiver,72,188,2011,66,777,4,11.8,13,10,3,1,1,0,7.77,4.42,13,39.5,122,6.85,4.13,Y
Wisconsin,Big Ten,New Orleans,2012,122,4,27,Nick Toon,Wide Receiver,74,215,2011,64,926,10,14.5,13,11,2,1,0,1,9.17,4.49,18,37.5,NA,NA,NA,Y
Arkansas,SEC,Minnesota,2012,134,4,39,Greg Childs,Wide Receiver,75,219,2011,21,240,0,11.4,12,10,2,1,1,0,9.65,4.52,19,36.5,125,NA,NA,Y
Virginia Tech,ACC,Dallas,2012,152,5,17,Danny Coale,Wide Receiver,72,201,2011,60,904,3,15.1,13,11,2,1,0,1,6.69,4.42,12,35,115,6.69,4.15,Y
Arizona,Pac-12,Las Vegas,2012,168,5,33,Juron Criner,Wide Receiver,75,224,2011,75,956,11,12.7,12,4,8,0,0,0,4.73,4.66,17,38,117,7.15,4.3,Y
Michigan State,Big Ten,Miami,2012,183,6,13,B.J. Cunningham,Wide Receiver,73,211,2011,79,1306,12,16.5,13,10,3,1,1,0,3.24,4.52,12,31.5,116,7.1,NA,Y
Iowa,Big Ten,Philadelphia,2012,194,6,24,Marvin McNutt,Wide Receiver,75,216,2011,82,1315,12,16,12,7,5,1,0,1,7.75,4.48,NA,37,122,7.15,4.07,Y
Miami,ACC,Baltimore,2012,198,6,28,Tommy Streeter,Wide Receiver,77,219,2011,46,811,8,17.6,12,6,6,0,0,0,8.68,4.37,17,33,125,7.08,NA,Y
Ohio,Mid-American,Indianapolis,2012,206,6,36,LaVon Brazill,Wide Receiver,71,192,2011,72,1150,11,16,13,9,4,1,1,0,5.03,4.43,11,32.5,NA,NA,NA,Y
Nevada,Western Athletic,Miami,2012,227,7,20,Rishard Matthews,Wide Receiver,72,217,2011,91,1364,8,15,12,7,5,1,0,1,6.28,4.54,20,36,NA,6.88,4.19,Y
Colorado,Pac-12,Pittsburgh,2012,231,7,24,Toney Clemons,Wide Receiver,74,210,2011,43,680,8,15.8,13,3,10,0,0,0,9.1,NA,NA,NA,NA,NA,NA,N
Northwestern,Big Ten,New England,2012,235,7,28,Jeremy Ebert,Wide Receiver,70,194,2011,75,1060,11,14.1,12,6,6,1,0,1,7.84,NA,NA,NA,NA,NA,NA,N
Michigan,Big Ten,Kansas City,2012,238,7,31,Junior Hemingway,Wide Receiver,73,225,2011,33,662,4,20.1,12,10,2,1,1,0,9.72,4.48,21,35.5,124,6.59,3.98,Y
Western Michigan,Mid-American,New York,2012,244,7,37,Jordan White,Wide Receiver,72,208,2011,128,1792,17,14,12,7,5,1,0,1,4.89,4.63,14,35,119,6.84,4.13,Y
West Virginia,Big 12,Los Angeles,2013,8,1,8,Tavon Austin,Wide Receiver,69,174,2012,114,1289,12,11.3,12,7,5,1,0,1,6.45,4.34,14,32,120,NA,4.01,Y
Clemson,ACC,Houston,2013,27,1,27,DeAndre Hopkins,Wide Receiver,73,214,2012,82,1405,18,17.1,12,10,2,1,1,0,4.94,4.57,15,36,115,NA,4.5,Y
Tennessee,SEC,Minnesota,2013,29,1,29,Cordarrelle Patterson,Wide Receiver,74,216,2012,46,778,5,16.9,12,5,7,0,0,0,7.68,4.42,NA,37,128,NA,NA,Y
Tennessee,SEC,Tennessee,2013,34,2,2,Justin Hunter,Wide Receiver,76,196,2012,73,1083,9,14.8,12,5,7,0,0,0,8.68,4.44,NA,39.5,136,NA,4.33,Y
USC,Pac-12,Buffalo,2013,41,2,9,Robert Woods,Wide Receiver,72,201,2012,76,846,11,11.1,12,7,5,1,0,1,3.55,4.51,14,33.5,117,7.15,4.47,Y
Marshall,Conference USA,New England,2013,59,2,27,Aaron Dobson,Wide Receiver,75,210,2012,57,679,3,11.9,12,5,7,0,0,0,8.52,4.37,NA,NA,NA,NA,NA,Y
Baylor,Big 12,Dallas,2013,74,3,12,Terrance Williams,Wide Receiver,74,208,2012,97,1832,12,18.9,12,7,5,1,1,0,4.76,4.52,11,32.5,119,7.01,4.32,Y
California,Pac-12,Los Angeles,2013,76,3,14,Keenan Allen,Wide Receiver,74,206,2012,61,737,6,12.1,12,3,9,0,0,0,NA,4.58,NA,NA,NA,NA,NA,Y
Texas,Big 12,Buffalo,2013,78,3,16,Marquise Goodwin,Wide Receiver,69,183,2012,26,340,3,13.1,12,8,4,1,1,0,9.27,4.27,13,NA,132,NA,NA,Y
Oregon State,Pac-12,Pittsburgh,2013,79,3,17,Markus Wheaton,Wide Receiver,71,189,2012,91,1244,11,13.7,12,9,3,1,0,1,8.38,4.45,20,37,120,6.8,4.02,Y
West Virginia,Big 12,Los Angeles,2013,92,3,30,Stedman Bailey,Wide Receiver,70,193,2012,114,1622,25,14.2,12,7,5,1,0,1,5.64,4.52,11,34.5,117,6.81,4.09,Y
South Carolina,SEC,Jacksonville,2013,101,4,4,Ace Sanders,Wide Receiver,67,173,2012,45,531,9,11.8,12,10,2,1,1,0,1.89,4.58,7,32,117,6.81,4.37,Y
TCU,Big 12,New England,2013,102,4,5,Josh Boyce,Wide Receiver,71,206,2012,66,891,7,13.5,12,7,5,1,0,1,9.6,4.38,22,34,131,6.68,4.1,Y
Kansas State,Big 12,Seattle,2013,123,4,26,Chris Harper,Wide Receiver,73,229,2012,58,857,3,14.8,12,11,1,1,0,1,7.16,4.55,20,35.5,116,6.89,4.39,Y
Louisiana Tech,Western Athletic,San Francisco,2013,128,4,31,Quinton Patton,Wide Receiver,72,204,2012,104,1392,13,13.4,12,9,3,0,0,0,5.64,4.53,8,33,118,6.91,4.01,Y
Michigan,Big Ten,Jacksonville,2013,135,5,2,Denard Robinson,Wide Receiver,71,199,2012,3,31,0,10.3,12,8,4,1,0,1,7.02,4.43,NA,36.5,123,7.09,4.22,Y
Oklahoma,Big 12,New Orleans,2013,144,5,11,Kenny Stills,Wide Receiver,73,194,2012,82,959,11,11.7,12,10,2,1,0,1,7.13,4.38,16,33.5,124,NA,4.35,Y
Georgia,SEC,Denver,2013,161,5,28,Tavarres King,Wide Receiver,72,189,2012,42,950,9,22.6,13,11,2,1,1,0,6.31,4.47,11,36.5,123,6.91,4.33,Y
Virginia Tech,ACC,Detroit,2013,171,6,3,Corey Fuller,Wide Receiver,74,204,2012,43,815,6,19,12,6,6,1,1,0,5.83,4.43,12,31.5,120,NA,NA,Y
Texas A&M,SEC,Arizona,2013,174,6,6,Ryan Swope,Wide Receiver,72,205,2012,72,913,8,12.7,12,10,2,1,1,0,9.54,4.34,16,37,125,6.76,4.25,Y
Arkansas,SEC,Cincinnati,2013,197,6,29,Cobi Hamilton,Wide Receiver,74,212,2012,90,1335,5,14.8,12,4,8,0,0,0,2.44,4.56,11,29.5,107,NA,4.31,Y
San Diego State,Mountain West,Las Vegas,2013,209,7,3,Brice Butler,Wide Receiver,75,199,2012,24,347,4,14.5,12,9,3,1,0,1,9.79,NA,NA,NA,NA,NA,NA,N
Maryland,ACC,Green Bay,2013,224,7,18,Kevin Dorsey,Wide Receiver,73,211,2012,18,311,4,17.3,12,4,8,0,0,0,7.66,NA,NA,NA,NA,NA,NA,N
Washington State,Pac-12,Chicago,2013,236,7,30,Marquess Wilson,Wide Receiver,75,194,2012,52,813,5,15.6,12,3,9,0,0,0,7.05,4.51,7,34.5,122,6.65,4.33,Y
Clemson,ACC,Buffalo,2014,4,1,4,Sammy Watkins,Wide Receiver,73,211,2013,101,1464,12,14.5,12,10,2,1,1,0,8.45,4.43,16,34,126,6.95,4.34,Y
Texas A&M,SEC,Tampa Bay,2014,7,1,7,Mike Evans,Wide Receiver,77,231,2013,69,1394,12,20.2,12,8,4,1,1,0,7,4.53,12,37,NA,7.08,4.26,Y
LSU,SEC,New York,2014,12,1,12,Odell Beckham Jr.,Wide Receiver,71,198,2013,59,1152,8,19.5,12,9,3,1,1,0,NA,4.38,7,38.5,122,6.69,3.94,Y
Oregon State,Pac-12,New Orleans,2014,20,1,20,Brandin Cooks,Wide Receiver,70,189,2013,128,1730,16,13.5,12,6,6,1,1,0,9.14,4.33,16,36,120,6.76,3.81,Y
Florida State,ACC,Carolina,2014,28,1,28,Kelvin Benjamin,Wide Receiver,77,240,2013,54,1011,15,18.7,13,13,0,1,1,0,3.49,4.61,13,32.5,119,7.33,4.39,Y
USC,Pac-12,Jacksonville,2014,39,2,7,Marqise Lee,Wide Receiver,72,192,2013,57,791,4,13.9,13,9,4,1,1,0,7.11,4.52,NA,38,127,NA,4.01,Y
Vanderbilt,SEC,Philadelphia,2014,42,2,10,Jordan Matthews,Wide Receiver,75,212,2013,112,1477,7,13.2,12,8,4,1,1,0,9.38,4.46,21,35.5,120,6.95,4.18,Y
Colorado,Pac-12,Seattle,2014,45,2,13,Paul Richardson,Wide Receiver,72,175,2013,83,1343,10,16.2,12,4,8,0,0,0,7.63,4.4,NA,38,124,7.09,NA,Y
Fresno State,Mountain West,Green Bay,2014,53,2,21,Davante Adams,Wide Receiver,73,212,2013,131,1718,24,13.1,12,11,1,1,0,1,6.54,4.56,14,39.5,123,6.82,4.3,Y
Indiana,Big Ten,Denver,2014,56,2,24,Cody Latimer,Wide Receiver,75,215,2013,72,1096,9,15.2,12,5,7,0,0,0,9.93,4.52,23,NA,NA,NA,NA,Y
Penn State,Big Ten,Jacksonville,2014,61,2,29,Allen Robinson,Wide Receiver,75,220,2013,97,1432,6,14.8,12,7,5,0,0,0,8.86,4.6,NA,39,127,7,4,Y
LSU,SEC,Miami,2014,63,2,31,Jarvis Landry,Wide Receiver,72,205,2013,77,1193,10,15.5,12,9,3,1,1,0,0.27,4.65,12,28.5,110,NA,NA,Y
Oregon,Pac-12,Philadelphia,2014,86,3,22,Josh Huff,Wide Receiver,71,206,2013,62,1140,12,18.4,12,10,2,1,1,0,6.61,4.51,14,35.5,116,NA,NA,Y
Ole Miss,SEC,Indianapolis,2014,90,3,26,Donte Moncrief,Wide Receiver,74,221,2013,59,938,6,15.9,12,7,5,1,1,0,9.46,4.4,13,39.5,132,7.02,4.3,Y
Oklahoma,Big 12,New York,2014,104,4,4,Jalen Saunders,Wide Receiver,69,165,2013,61,729,8,12,12,10,2,1,1,0,3.96,4.44,NA,34,122,NA,NA,Y
South Carolina,SEC,San Francisco,2014,106,4,6,Bruce Ellington,Wide Receiver,69,197,2013,49,775,8,15.8,12,10,2,1,1,0,9.22,4.45,15,39.5,120,6.69,3.95,Y
Clemson,ACC,Pittsburgh,2014,118,4,18,Martavis Bryant,Wide Receiver,76,211,2013,42,828,7,19.7,12,10,2,1,1,0,9.45,4.42,16,39,124,7.18,4.15,Y
Alabama,SEC,Seattle,2014,123,4,23,Kevin Norwood,Wide Receiver,74,198,2013,38,568,7,14.9,12,11,1,1,0,1,5.91,4.48,8,33,121,6.68,4.32,Y
Tulane,Conference USA,Washington,2014,142,5,2,Ryan Grant,Wide Receiver,72,199,2013,77,1039,9,13.5,12,7,5,1,0,1,5.09,4.64,8,35.5,119,6.68,4.11,Y
Pittsburgh,ACC,Dallas,2014,146,5,6,Devin Street,Wide Receiver,75,189,2013,51,854,7,16.7,12,6,6,1,1,0,8.96,4.55,NA,37,124,6.89,4.01,Y
Wisconsin,Big Ten,Green Bay,2014,176,5,36,Jared Abbrederis,Wide Receiver,73,195,2013,78,1081,7,13.9,12,9,3,1,0,1,4.66,4.5,4,30.5,117,6.8,4.08,Y
Wyoming,Mountain West,Tampa Bay,2014,185,6,9,Robert Herron,Wide Receiver,69,193,2013,72,937,9,13,12,5,7,0,0,0,6.7,4.48,18,35.5,125,6.84,4.27,Y
Notre Dame,FBS Independents,Detroit,2014,189,6,13,TJ Jones,Wide Receiver,72,188,2013,70,1108,9,15.8,12,8,4,1,1,0,NA,4.46,NA,33,119,6.82,4.27,Y
Coastal Carolina,Big South,Miami,2014,190,6,14,Matt Hazel,Wide Receiver,73,198,2013,6,83,0,13.8,13,11,2,0,0,0,6.97,4.5,15,36.5,118,7.08,4.2,Y
Nebraska,Big Ten,New York,2014,209,6,33,Quincy Enunwa,Wide Receiver,74,225,2013,51,753,12,14.8,12,8,4,1,1,0,9.85,4.41,19,NA,NA,NA,NA,Y
Wake Forest,ACC,Baltimore,2014,218,7,3,Michael Campanaro,Wide Receiver,69,192,2013,67,803,6,12,12,4,8,0,0,0,9.03,4.46,20,39,122,6.77,4.01,Y
Baylor,Big 12,Los Angeles,2014,240,7,25,Tevin Reese,Wide Receiver,71,163,2013,38,867,8,22.8,12,11,1,1,0,1,8.99,4.46,NA,41,132,6.63,4.18,Y
Michigan,Big Ten,New England,2014,244,7,29,Jeremy Gallon,Wide Receiver,68,185,2013,89,1373,9,15.4,12,7,5,1,0,1,5.49,4.49,15,NA,NA,NA,NA,Y
Alabama,SEC,Las Vegas,2015,4,1,4,Amari Cooper,Wide Receiver,73,211,2014,124,1727,16,13.9,13,12,1,1,0,1,8.57,4.42,NA,33,120,6.71,3.98,Y
West Virginia,Big 12,Chicago,2015,7,1,7,Kevin White,Wide Receiver,75,215,2014,109,1447,10,13.3,12,7,5,1,0,1,9.72,4.35,23,36.5,123,6.92,4.14,Y
Louisville,ACC,Miami,2015,14,1,14,DeVante Parker,Wide Receiver,75,209,2014,43,855,5,19.9,12,9,3,1,0,1,9.75,4.45,17,36.5,125,NA,NA,Y
USC,Pac-12,Philadelphia,2015,20,1,20,Nelson Agholor,Wide Receiver,72,198,2014,104,1313,12,12.6,12,8,4,1,1,0,7.38,4.42,12,NA,NA,NA,NA,Y
UCF,American Athletic,Baltimore,2015,26,1,26,Breshad Perriman,Wide Receiver,74,212,2014,50,1044,9,20.9,12,9,3,1,0,1,9.95,NA,NA,NA,NA,NA,NA,Y
Miami,ACC,Indianapolis,2015,29,1,29,Phillip Dorsett,Wide Receiver,70,185,2014,36,871,10,24.2,12,6,6,1,0,1,8.47,4.33,13,37,122,6.7,4.11,Y
Ohio State,Big Ten,New York,2015,37,2,5,Devin Smith,Wide Receiver,72,196,2014,33,931,12,28.2,13,12,1,2,2,0,8.61,4.42,10,39,122,NA,4.15,Y
Michigan,Big Ten,Carolina,2015,41,2,9,Devin Funchess,Wide Receiver,76,232,2014,62,733,4,11.8,12,5,7,0,0,0,5.26,4.7,17,38.5,122,NA,NA,Y
Kansas State,Big 12,Seattle,2015,69,3,5,Tyler Lockett,Wide Receiver,70,182,2014,106,1515,11,14.3,12,9,3,1,0,1,7.71,4.4,NA,35.5,121,6.89,4.07,Y
Arizona State,Pac-12,Houston,2015,70,3,6,Jaelen Strong,Wide Receiver,74,217,2014,82,1165,10,14.2,12,9,3,1,1,0,9.14,4.44,NA,42,123,NA,NA,Y
Georgia,SEC,Kansas City,2015,76,3,12,Chris Conley,Wide Receiver,74,211,2014,36,657,8,18.3,12,9,3,1,1,0,9.68,4.35,18,45,139,7.06,4.3,Y
Auburn,SEC,Pittsburgh,2015,87,3,23,Sammie Coates,Wide Receiver,73,212,2014,34,741,4,21.8,12,8,4,1,0,1,9.86,4.43,23,41,131,6.98,4.06,Y
Stanford,Pac-12,Green Bay,2015,94,3,30,Ty Montgomery,Wide Receiver,72,221,2014,61,604,3,9.9,12,7,5,1,1,0,7.75,4.55,NA,40.5,121,6.97,4.21,Y
Duke,ACC,Washington,2015,105,4,6,Jamison Crowder,Wide Receiver,68,185,2014,85,1044,6,12.3,12,9,3,1,0,1,1.31,4.56,10,37,115,7.17,4.32,Y
East Carolina,American Athletic,Atlanta,2015,107,4,8,Justin Hardy,Wide Receiver,70,192,2014,121,1494,10,12.3,12,8,4,1,0,1,4.87,4.56,11,36.5,114,6.63,4.21,Y
Washington State,Pac-12,Cleveland,2015,123,4,24,Vince Mayle,Wide Receiver,74,224,2014,106,1483,9,14,12,3,9,0,0,0,4.63,4.67,NA,35.5,117,6.93,4.13,Y
Georgia Tech,ACC,San Francisco,2015,132,4,33,DeAndre Smelter,Wide Receiver,74,226,2014,35,715,7,20.4,13,10,3,1,1,0,NA,4.52,NA,NA,NA,NA,NA,Y
